Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre
Lights Out,WB (NL),67268835,2835,21688103,2818,7/22/2016,David F. Sandberg,Teresa Palmer,6.2,Drama
Like Mike,Fox,51432760,2436,12179420,2410,07-03-02,John Schultz,Shad Moss,5.8,Comedy
Lilo & Stitch,BV,145794338,3222,35260212,3191,6/21/2002,Dean DeBlois,Daveigh Chase,7.4,Animation
Limitless,Rela.,79249455,2838,18907302,2756,3/18/2011,Neil Burger,Bradley Cooper,7.1,Thriller
Lincoln,BV,182207973,2293,944308,11,11-09-12,Steven Spielberg,Daniel Day-Lewis,6.8,History
Lion,Wein.,51738905,1802,123360,4,11/25/2016,Garth Davis,Dev Patel,6.2,Drama
Little Fockers,Uni.,148438600,3675,30833665,3536,12/22/2010, Paul Weitz, Robert De Niro,5.6,Comedy
Little Man,SonR,58645052,2537,21613176,2533,7/14/2006,Keenen Ivory Wayans,Shawn Wayans,1,Documentary
Little Miss Sunshine,FoxS,59891098,1602,370998,7,7/26/2006,Jonathan Dayton,Steve Carell,7.6,Comedy
Little Nicky,NL,39464775,2910,16063904,2910,11-10-00,Steven Brill,Adam Sandler,5.2,Comedy
Live Free or Die Hard,Fox,134529403,3411,33369559,3408,6/27/2007,Len Wiseman,Bruce Willis,6.5,Action
Logan Lucky,BST,27780977,3031,7600036,3031,8/18/2017,Steven Soderbergh,Channing Tatum,6.7,Action
London Has Fallen,Focus,62524260,3492,21635601,3490,03-04-16,Babak Najafi,Gerard Butler,5.9,Action
Lone Survivor,Uni.,125095601,3285,90872,2,12/25/2013,Peter Berg,Mark Wahlberg,7.4,Action
Looper,TriS,66486205,2993,20801552,2992,9/28/2012,Rian Johnson,Joseph Gordon-Levitt,6.8,Action
Lost in Translation,Focus,44585453,882,925087,23,09-12-03,Sofia Coppola,Bill Murray,7.4,Drama
Love & Basketball,NL,27459615,1245,8139180,1237,4/21/2000,Gina Prince-Bythewood,Sanaa Lathan,7.3,Action
Love Actually,Uni.,59696144,1714,6886080,576,11-07-03,Richard Curtis,Hugh Grant,7.1,Comedy
Love the Coopers,LGF,26302731,2603,8317545,2603,11/13/2015,Jessie Nelson,Steve Martin,5.8,Comedy
Lucy,Uni.,126663600,3202,43899340,3173,7/25/2014,Luc Besson,Scarlett Johansson,7.1,TV Movie
Machete,Fox,26593646,2678,11416164,2670,09-03-10, Robert Rodriguez, Danny Trejo,6.3,Action
Mad Max: Fury Road,WB,153636354,3722,45428128,3702,5/15/2015,George Miller,Tom Hardy,7.4,Action
Madagascar,DW,193595521,4142,47224594,4131,5/27/2005,Eric Darnell,Chris Rock,6.8,Family
Madagascar: Escape 2 Africa,P/DW,180010950,4065,63106589,4056,11-07-08,Eric Darnell, Ben Stiller,6.3,Family
Made of Honor,Sony,46012734,2816,14756850,2729,05-02-08, Paul Weiland," 
Patrick Dempsey",6.2,Comedy
Magic Mike,WB,113721571,3120,39127170,2930,6/29/2012,Steven Soderbergh,Channing Tatum,6.1,Drama
Magic Mike XXL,WB,66013057,3376,12857184,3355,07-01-15,Gregory Jacobs,Channing Tatum,6.2,Comedy
Magnolia,NL,22455976,1086,193604,7,12/17/1999,Paul Thomas Anderson,Tom Cruise,7.7,Drama
Maid in Manhattan,SonR,94011225,3050,18711407,2838,12/13/2002,Wayne Wang,Jennifer Lopez,5.8,Comedy
Maleficent,BV,241410378,3948,69431298,3948,5/30/2014,Robert Stromberg,Angelina Jolie,7,Fantasy
Mama,Uni.,71628180,2781,28402310,2647,1/18/2013,Andy Muschietti,Jessica Chastain,6.1,Horror
Mamma Mia!,Uni.,144130063,3194,27751240,2976,7/18/2008, Phyllida Lloyd," 
Meryl Streep",6.9,Comedy
Mamma Mia! Here We Go Again,Uni.,120634935,3514,34952180,3317,7/20/2018,Ol Parker,Lily James,7.3,Comedy
Man of Steel,WB,291045518,4207,116619362,4207,6/14/2013,Zack Snyder,Henry Cavill,6.5,Action
Man of the Year,Uni.,37327390,2626,12299380,2515,10/13/2006,Barry Levinson,Robin Williams,5.5,Drama
Man on Fire,Fox,77911774,2986,22751490,2980,4/21/2004,Tony Scott,Denzel Washington,7.4,Action
Man on the Moon,Uni.,34607430,2079,7515585,2079,12/22/1999,Milos Forman,Jim Carrey,7.2,Comedy
Manchester by the Sea,RAtt.,47695371,1213,256498,4,11/18/2016,Kenneth Lonergan,Casey Affleck,7.5,Drama
March of the Penguins,WIP,77437223,2506,137492,4,6/24/2005,Luc Jacquet,Morgan Freeman,7,Documentary
Marmaduke,Fox,33644788,3213,11599661,3213,06-04-10,Tom Dey,Lee Pace,5,Family
Mary Poppins Returns,BV,171955008,4090,23523121,4090,12/19/2018,Rob Marshall,Emily Blunt,6.7,Fantasy
Master and Commander: The Far Side of the World,Fox,93927920,3101,25105990,3101,11/14/2003,Peter Weir,Russell Crowe,7.1,Adventure
Matchstick Men,WB,36906460,2711,13087307,2711,09-12-03,Ridley Scott,Nicolas Cage,7,Comedy
Max Payne,Fox,40689393,3381,17639849,3376,10/17/2008, John Moore," 
Mark Wahlberg",5.2,Action
Maze Runner: The Death Cure,Fox,58032443,3793,24167011,3787,1/26/2018,Wes Ball,Dylan OBrien,7.1,Action
Maze Runner: The Scorch Trials,Fox,81697192,3792,30316510,3791,9/18/2015,Wes Ball,Dylan OBrien,6.6,Action
Me Before You,WB (NL),56245075,2762,18723269,2704,06-03-16,Thea Sharrock,Emilia Clarke,7.7,Drama
Mean Girls,Par.,86058055,3054,24432195,2839,4/30/2004,Mark Waters,Lindsay Lohan,7.1,Comedy
Meet the Fockers,Uni.,279261160,3554,46120980,3518,12/22/2004,Jay Roach,Ben Stiller,6.2,Comedy
Meet the Parents,Uni.,166244045,2697,28623300,2614,10-06-00,Jay Roach,Ben Stiller,6.6,Comedy
Meet the Robinsons,BV,97822171,3435,25123781,3413,3/30/2007,Stephen Anderson,Jordan Fry,6.8,Animation
Meet the Spartans,Fox,38233676,2643,18505530,2605,1/25/2008, Jason Friedberg,Carmen Electra,3.7,Comedy
Megamind,P/DW,148415853,3949,46016833,3944,11-05-10,Tom McGrath," 
Will Ferrell",6.8,Animation
Memento,NM,25544867,531,235488,11,3/16/2001,Christopher Nolan,Guy Pearce,8.2,Mystery
Memoirs of a Geisha,Sony,57490508,1654,682504,8,12-09-05,Rob Marshall,Ziyi Zhang,7.6,Drama
Men in Black II,Sony,190418803,3641,52148751,3557,07-03-02,Barry Sonnenfeld,Tommy Lee Jones,6.3,Action
Men of Honor,Fox,48818921,2188,13339465,2092,11-10-00,George Tillman Jr.,Cuba Gooding Jr.,7.2,Drama
Message in a Bottle,WB,52880016,2545,16751560,2538,02-12-99,Luis Mandoki,Kevin Costner,6.1,Romance
Miami Vice,Uni.,63450470,3026,25723815,3021,7/28/2006,Michael Mann,Colin Farrell,5.9,Action
Michael Clayton,WB,49033882,2585,719910,15,10-05-07,Tony Gilroy,George Clooney,6.7,Drama
Mickey Blue Eyes,WB,33864342,2573,10178289,2573,8/20/1999,Kelly Makin,Hugh Grant,5.4,Comedy
Midnight in Paris,SPC,56817045,1038,599003,6,5/20/2011,Woody Allen,Owen Wilson,7.5,Fantasy
Mike and Dave Need Wedding Dates,Fox,46009673,3008,16628170,2982,07-08-16,Jake Szymanski,Zac Efron,6,Comedy
Mile 22,STX,36108758,3520,13710825,3520,8/17/2018,Peter Berg,Mark Wahlberg,6,Action
Milk,Focus,31841299,882,1453844,36,11/26/2008, Gus Van Sant," 
Sean Penn",6.8,Drama
Million Dollar Arm,BV,36457627,3019,10515659,3019,5/16/2014,Craig Gillespie,Jon Hamm,6.8,Drama
Million Dollar Baby,WB,100492203,2375,179953,8,12/15/2004,Clint Eastwood,Hilary Swank,7.9,Drama
Minions,Uni.,336045770,4311,115718405,4301,07-10-15,Kyle Balda,Sandra Bullock,6.4,Family
Minority Report,Fox,132072926,3001,35677125,3001,6/21/2002,Steven Spielberg,Tom Cruise,7.3,Action
Miracle,BV,64378093,2755,19377577,2605,02-06-04,Gavin OConnor,Kurt Russell,7.1,Drama
Miracles from Heaven,TriS,61705123,3155,14812393,3047,3/16/2016,Patricia Riggen,Jennifer Garner,7.1,Drama
Mirror Mirror,Rela.,64935167,3618,18132085,3603,3/30/2012,Tarsem Singh,Lily Collins,5.8,Adventure
Mirrors,Fox,30691439,2664,11161074,2664,8/15/2008,Alexandre Aja," 
Kiefer Sutherland",6.8,Drama
Miss Congeniality,WB,106807667,2668,10046534,2668,12/22/2000,Donald Petrie,Sandra Bullock,6.4,Comedy
Miss Congeniality 2: Armed and Fabulous,WB,48478006,3233,14043215,3233,3/24/2005,John Pasquin,Sandra Bullock,5.6,Action
Mission to Mars,BV,60883407,3101,22855247,3054,03-10-00,Brian De Palma,Tim Robbins,5.9,Science Fiction
Mission: Impossible - Fallout,Par.,220159104,4395,61236534,4386,7/27/2018,Christopher McQuarrie,Tom Cruise,7.3,Action
Mission: Impossible - Ghost Protocol,Par.,209397903,3555,12785204,425,12/16/2011,Brad Bird,Tom Cruise,6.9,Action
Mission: Impossible - Rogue Nation,Par.,195042377,3988,55520089,3956,7/31/2015,Christopher McQuarrie,Tom Cruise,7.1,Action
Mission: Impossible II,Par.,215409889,3669,57845297,3653,5/24/2000,John Woo,Tom Cruise,6,Adventure
Mission: Impossible III,Par.,134029801,4059,47743273,4054,05-05-06,J.J. Abrams,Tom Cruise,6.6,Adventure
Moana,BV,248757044,3875,56631401,3875,11/23/2016,Ron Clements,Aulii Cravalho,7.2,Drama
Mona Lisa Smile,SonR,63860942,2714,11528498,2677,12/19/2003,Mike Newell,Julia Roberts,6.8,Drama
Money Monster,TriS,41012075,3104,14788157,3104,5/13/2016,Jodie Foster,George Clooney,6.4,Thriller
Moneyball,Sony,75605492,3018,19501302,2993,9/23/2011,Bennett Miller,Brad Pitt,7.1,Drama
Monster,NM,34469210,1093,86831,4,12/24/2003,Patty Jenkins,Charlize Theron,7.2,Crime
Monster House,Sony,73661010,3553,22217226,3553,7/21/2006,Gil Kenan,Mitchel Musso,6.5,Animation
Monster Trucks,Par.,33370166,3119,10950705,3119,1/13/2017,Chris Wedge,Lucas Till,5.9,Action
Monster-in-Law,NL,82931301,3424,23105133,3424,5/13/2005,Robert Luketic,Jennifer Lopez,5.9,Romance
Monsters University,BV,268492764,4004,82429469,4004,6/21/2013,Dan Scanlon,Billy Crystal,7,Animation
Moonrise Kingdom,Focus,45512466,924,522996,4,5/25/2012,Wes Anderson,Jared Gilman,7.7,Comedy
Morning Glory,Par.,31011732,2544,9203266,2518,11-10-10,Roger Michell," 
Rachel McAdams",6.3,Comedy
Moulin Rouge!,Fox,57386607,2283,167540,2,5/18/2001,Baz Luhrmann,Nicole Kidman,7.6,Drama
Mr. & Mrs. Smith,Fox,186336279,3451,50342878,3424,06-10-05,Doug Liman,Brad Pitt,6.6,Action
Mr. Brooks,MGM,28549298,2453,10017067,2453,06-01-07,Bruce A. Evans,Kevin Costner,6.9,Drama
Mr. Deeds,Sony,126293452,3239,37162787,3231,6/28/2002,Steven Brill,Adam Sandler,5.7,Comedy
Mr. Peabody & Sherman,Fox,111506430,3951,32207057,3934,03-07-14,Rob Minkoff,Ty Burrell,6.6,Animation
Mr. Woodcock,NL,25799486,2237,8761369,2231,9/14/2007, Craig Gillespie,Billy Bob Thornton,4.8,Comedy
Munich,Uni.,47403685,1498,4152260,532,12/23/2005,Steven Spielberg,Eric Bana,7.1,Drama
Muppets from Space,Sony,16625807,2265,4826049,2265,7/14/1999,Tim Hill,Dave Goelz,5.9,Fantasy
Muppets Most Wanted,BV,51183113,3194,17005126,3194,3/21/2014,James Bobin,Ricky Gervais,6.2,Comedy
Murder by Numbers,WB,31945749,2663,9307394,2663,4/19/2002,Barbet Schroeder,Sandra Bullock,6.1,Crime
Music and Lyrics,WB,50572589,2955,13623630,2955,2/14/2007, Marc Lawrence, Hugh Grant,6.3,Comedy
Music of the Heart,Mira.,14859394,1353,3653281,1349,10/29/1999,Wes Craven,Meryl Streep,6.7,Drama
Must Love Dogs,WB,43894863,2505,12855321,2505,7/29/2005,Gary David Goldberg,Diane Lane,5.9,Romance
My Big Fat Greek Wedding,IFC,241438208,2016,597362,108,4/19/2002,Joel Zwick,Nia Vardalos,6.3,Comedy
My Big Fat Greek Wedding 2,Uni.,59689605,3179,17861950,3133,3/25/2016,Kirk Jones,Nia Vardalos,5.7,Romance
My Dog Skip,WB,34134641,2331,56943,5,1/14/2000,Jay Russell,Frankie Muniz,6.6,Comedy
My Favorite Martian,BV,36850101,2349,8828586,2275,02-12-99,Donald Petrie,Christopher Lloyd,5.3,Comedy
My Little Pony: The Movie,LGF,21885107,2528,8885899,2528,10-06-17,Jayson Thiessen,Emily Blunt,6.8,Music
Mystery Men,Uni.,29762011,2142,10017865,2136,08-06-99,Kinka Usher,Ben Stiller,5.8,Adventure
Mystic River,WB,90135191,1581,640815,13,10-08-03,Clint Eastwood,Sean Penn,7.7,Thriller
Nacho Libre,Par.,80197993,3083,28309599,3070,6/16/2006,Jared Hess,Jack Black,5.6,Comedy
Nancy Drew,WB,25612520,2612,6832318,2612,6/15/2007,Andrew Fleming, Emma Roberts,4,Mystery
Nanny McPhee,Uni.,47144110,2148,14503650,1995,1/27/2006,Kirk Jones,Emma Thompson,6.5,Fantasy
Napoleon Dynamite,FoxS,44540956,1027,116666,6,06-11-04,Jared Hess,Jon Heder,6.8,Comedy
National Security,Sony,36381186,2729,14369694,2729,1/17/2003,Dennis Dugan,Martin Lawrence,5.5,Action
National Treasure,BV,173008894,3243,35142554,3017,11/19/2004,Jon Turteltaub,Nicolas Cage,6.5,Adventure
National Treasure: Book of Secrets,BV,219964115,3832,44783772,3832,12/21/2007,Jon Turteltaub,Nicolas Cage,6.2,Action
Need for Speed,BV,43577636,3115,17844939,3115,3/14/2014,Scott Waugh,Aaron Paul,6.1,Action
Neighbors,Uni.,150157400,3311,49033915,3279,05-09-14,Nicholas Stoller,Seth Rogen,6.2,Comedy
Neighbors 2: Sorority Rising,Uni.,55455765,3416,21760405,3384,5/20/2016,Nicholas Stoller,Seth Rogen,5.7,Comedy
Nerve,LGF,38583626,2538,9445456,2538,7/27/2016,Henry Joost,Emma Roberts,6.5,Comedy
Never Been Kissed,Fox,55474756,2500,11836707,2455,04-09-99,Raja Gosnell,Drew Barrymore,6,Romance
Next Friday,NL,57328603,1420,14465156,1103,01-12-00,Steve Carr,Ice Cube,6.3,Comedy
Night at the Museum,Fox,250863268,3768,30433781,3685,12/22/2006,Shawn Levy,Ben Stiller,6.5,Action
Night at the Museum: Battle of the Smithsonian,Fox,177243721,4101,54173286,4096,5/22/2009, Shawn Levy," 
Ben Stiller",6,Adventure
Night at the Museum: Secret of the Tomb,Fox,113746621,3914,17100520,3785,12/19/2014,Shawn Levy,Ben Stiller,6.2,Adventure
Nightcrawler,ORF,32381217,2766,10441000,2766,10/31/2014,Dan Gilroy,Jake Gyllenhaal,7.7,Crime
Nights in Rodanthe,WB,41850659,2704,13418454,2704,9/26/2008,George C. Wolfe, Richard Gere,6.1,Drama
Ninja Assassin,WB,38122883,2503,13316158,2503,11/25/2009,James McTeigue," 
Rain",6.2,Action
No Country for Old Men,Mira.,74283625,2037,1226333,28,11-09-07, Joel Coen,Tommy Lee Jones,7.9,Crime
No Escape,Wein.,27288872,3415,8111264,3355,8/26/2015,John Erick Dowdle,Lake Bell,6.8,Action
No Reservations,WB,43107979,2425,11704357,2425,7/27/2007,Scott Hicks,Catherine Zeta-Jones,6.3,Comedy
No Strings Attached,Par.,70662220,3050,19652921,3018,1/21/2011,Ivan Reitman,Natalie Portman,6.2,Comedy
Noah,Par.,101200044,3571,43720472,3567,3/28/2014,Darren Aronofsky,Russell Crowe,7.6,Drama
Non-Stop,Uni.,92168600,3183,28875635,3090,2/28/2014,Jaume Collet-Serra,Liam Neeson,5.6,TV Movie
Norbit,P/DW,95673607,3145,34195434,3136,02-09-07, Brian Robbins,Eddie Murphy,5.2,Comedy
Not Another Teen Movie,Sony,38252284,2365,12615116,2365,12/14/2001,Joel Gallen,Chyler Leigh,5.5,Comedy
Notting Hill,Uni.,116089678,2786,21811180,2747,5/28/1999,Roger Michell,Julia Roberts,7.1,Romance
Now You See Me,LG/S,117723989,3082,29350389,2925,5/31/2013,Louis Leterrier,Jesse Eisenberg,7.4,Thriller
Now You See Me 2,LG/S,65075540,3232,22383146,3232,06-10-16,Jon M. Chu,Jesse Eisenberg,6.8,Action
Nurse Betty,USA,25170054,1491,7145950,1459,09-08-00,Neil LaBute,Renée Zellweger,6,Comedy
Oblivion,Uni.,89107235,3792,37054485,3783,4/19/2013,Joseph Kosinski,Tom Cruise,4.8,Documentary
Obsessed,SGem,68261644,2634,28612730,2514,4/24/2009,Steve Shill,Idris Elba,3.8,Drama
October Sky,Uni.,32547800,1702,5905250,1495,2/19/1999,Joe Johnston,Jake Gyllenhaal,7.6,Drama
Oculus,Rela.,27695246,2648,12005402,2648,04-11-14,Mike Flanagan,Karen Gillan,7.3,Horror
Office Christmas Party,Par.,54767494,3210,16890204,3210,12-09-16,Josh Gordon,Jason Bateman,5.6,Comedy
Old Dogs,BV,49492060,3425,16894511,3425,11/25/2009, Walt Becker, John Travolta,5.3,Comedy
Old School,DW,75585093,2742,17453216,2689,2/21/2003,Todd Phillips,Luke Wilson,3.9,Comedy
Olympus Has Fallen,FD,98925640,3106,30373794,3098,3/22/2013,Antoine Fuqua,Gerard Butler,6.2,Action
On the Basis of Sex,Focus,24622687,1957,686355,33,12/25/2018,Mimi Leder,Felicity Jones,7.3,Drama
Once Upon a Time in Mexico,Sony,56359780,3289,23424118,3282,09-12-03,Robert Rodriguez,Antonio Banderas,6.2,Action
One Direction: This is Us,TriS,28873374,2735,15815497,2735,8/30/2013,Morgan Spurlock,Liam Payne,8.1,Documentary
One Hour Photo,FoxS,31597131,1332,321515,7,8/21/2002,Mark Romanek,Robin Williams,6.6,Horror
Open Range,BV,58331254,2268,14047781,2075,8/15/2003,Kevin Costner,Kevin Costner,7.2,Western
Open Season,Sony,85105259,3833,23624548,3833,9/29/2006,Roger Allers,Ashton Kutcher,6.1,Adventure
Open Water,Lions,30610863,2709,1100943,47,08-06-04,Chris Kentis,Blanchard Ryan,5.4,Drama
Orange County,Par.,41076018,2317,15053226,2317,01-11-02,Jake Kasdan,Colin Hanks,6,Comedy
Orphan,WB,41596251,2750,12871483,2750,7/24/2009, Jaume Collet-Serra,Vera Farmiga,6.8,Horror
Ouija,Uni.,50856010,2899,19875995,2858,10/24/2014,Stiles White,Olivia Cooke,5.1,Horror
Ouija: Origin of Evil,Uni.,35144505,3168,14065500,3167,10/21/2016,Mike Flanagan,Elizabeth Reaser,5.9,Horror
Out of Time,MGM,41088845,3076,16185316,3076,10-03-03,Carl Franklin,Denzel Washington,5,Fantasy
Over the Hedge,P/DW,155019340,4093,38457003,4059,5/19/2006,Tim Johnson,Bruce Willis,6.4,Comedy
Overlord,Par.,21704844,2859,10202108,2859,11-09-18,Julius Avery,Jovan Adepo,6.7,Horror
Oz The Great and Powerful,BV,234911825,3912,79110453,3912,03-08-13,Sam Raimi,James Franco,5.8,Fantasy
P.S. I Love You,WB,53695808,2471,6481221,2454,12/21/2007,Richard LaGravenese,Hilary Swank,7.1,Drama
Pacific Rim,WB,101802906,3285,37285325,3275,07-12-13,Guillermo del Toro,Idris Elba,6.8,Action
Paddington,W/Dim.,76271832,3355,18966676,3303,1/16/2015,Paul King,Hugh Bonneville,7,Comedy
Paddington 2,WB,40891591,3702,11001961,3702,01-12-18,Paul King,Ben Whishaw,7.6,Adventure
Pan,WB,35088320,3515,15315435,3515,10-09-15,Joe Wright,Levi Miller,5.9,Adventure
Panic Room,Sony,96397334,3119,30056751,3053,3/29/2002,David Fincher,Jodie Foster,6.7,Crime
Paper Towns,Fox,32000304,3031,12650140,3031,7/24/2015,Jake Schreier,Nat Wolff,6,Drama
Paranormal Activity,Par.,107918810,2712,77873,12,9/25/2009,Oren Peli," 
Katie Featherston",5.9,Horror
Paranormal Activity 2,Par.,84752907,3239,40678424,3216,10/22/2010, Tod Williams," 
Sprague Grayden",5.7,Horror
Paranormal Activity 3,Par.,104028807,3329,52568183,3321,10/21/2011,Henry Joost,Chloe Csengery,5.9,Horror
Paranormal Activity 4,Par.,53900335,3412,29003866,3412,10/19/2012,Henry Joost,Stephen Dunham,5.3,Horror
Paranormal Activity: The Marked Ones,Par.,32462372,2883,18343611,2867,01-03-14,Oren Peli,Katie Featherston,5.2,Horror
ParaNorman,Focus,56003051,3455,14087050,3429,8/17/2012,Chris Butler,Kodi Smit-McPhee,6.8,Family
Parental Guidance,Fox,77267296,3368,14554053,3367,12/25/2012,Andy Fickman,Billy Crystal,5.8,Comedy
Patriots Day,LGF,31886361,3120,161306,7,12/21/2016,Peter Berg,Mark Wahlberg,6.9,Action
Paul,Uni.,37412945,2806,13043310,2802,3/18/2011,Greg Mottola,Simon Pegg,6.5,Adventure
Paul Blart: Mall Cop,Sony,146336178,3206,31832636,3144,1/16/2009,Steve Carr,Kevin James,5.3,Action
Paul Blart: Mall Cop 2,Sony,71038190,3633,23762435,3633,4/17/2015,Andy Fickman,Kevin James,5,Action
Pay It Forward,WB,33519628,2130,9631359,2130,10/20/2000,Mimi Leder,Kevin Spacey,7.2,Drama
Payback,Par.,81526121,2855,21221526,2729,02-05-99,Brian Helgeland,Mel Gibson,6.7,Crime
Paycheck,Par.,53790451,2762,13462374,2762,12/25/2003,John Woo,Ben Affleck,6.1,Action
Pearl Harbor,BV,198542554,3255,59078912,3214,5/25/2001,Michael Bay,Ben Affleck,6.8,History
Penguins of Madagascar,Fox,83350911,3775,25447444,3764,11/26/2014,Eric Darnell,Tom McGrath,6.4,Family
Peppermint,STX,35418723,2980,13423255,2980,09-07-18,Pierre Morel,Jennifer Garner,6.8,Comedy
Percy Jackson & The Olympians: The Lightning Thief,Fox,88768303,3396,31236067,3356,02-12-10,Chris Columbus,Logan Lerman,6.1,Adventure
Percy Jackson: Sea of Monsters,Fox,68559554,3080,14401054,3031,08-07-13,Thor Freudenthal,Logan Lerman,5.9,Adventure
Perfect Stranger,SonR,23984949,2661,11206163,2661,4/13/2007, James Foley,Halle Berry,5.8,Crime
Peter Pan,Uni.,48462608,2813,11139495,2813,12/25/2003,P.J. Hogan,Jeremy Sumpter,6.7,Music
Peter Rabbit,Sony,115253424,3725,25010928,3725,02-09-18,Will Gluck,James Corden,6.5,Animation
Phantom Thread,Focus,21198205,1186,216495,4,12/25/2017,Paul Thomas Anderson,Vicky Krieps,7.3,Drama
Philomena,Wein.,37709979,1225,128435,4,11/22/2013,Stephen Frears,Judi Dench,7.4,Drama
Phone Booth,Fox,46566212,2489,15021088,2481,04-04-03,Joel Schumacher,Colin Farrell,6.8,Thriller
Pineapple Express,Sony,87341380,3072,23245025,3072,08-06-08,David Gordon Green," 
Seth Rogen",6.6,Action
Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,4276,62983253,4276,5/26/2017,Joachim Rønning,Johnny Depp,6.5,Adventure
Pirates of the Caribbean: On Stranger Tides,BV,241071802,4164,90151958,4155,5/20/2011,Rob Marshall,Johnny Depp,6.4,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,3416,46630690,3269,07-09-03,Gore Verbinski,Johnny Depp,7.7,Adventure
Pitch Black,USA,39240659,1930,11577688,1832,2/18/2000,David Twohy,Radha Mitchell,6.8,Thriller
Pitch Perfect,Uni.,65001093,2787,5149433,335,9/28/2012,Jason Moore,Anna Kendrick,7.3,Comedy
Pitch Perfect 2,Uni.,184296230,3660,69216890,3473,5/15/2015,Elizabeth Banks,Anna Kendrick,6.9,Comedy
Pitch Perfect 3,Uni.,104897530,3468,19928525,3447,12/22/2017,Trish Sie,Anna Kendrick,6.5,Comedy
Pixels,Sony,78747585,3723,24011616,3723,7/24/2015,Chris Columbus,Adam Sandler,7.1,Science Fiction
Planes,BV,90288712,3716,22232291,3702,08-09-13,Klay Hall,Carlos Alazraqui,5.8,Animation
Planes: Fire & Rescue,BV,59165787,3839,17509407,3826,7/18/2014,Roberts Gannaway,Dane Cook,6,Animation
Planet 51,Sony,42194060,3035,12286129,3035,11/20/2009,Jorge Blanco, Dwayne Johnson,5.7,Science Fiction
Poseidon,WB,60674817,3555,22155410,3555,05-12-06,Wolfgang Petersen,Richard Dreyfuss,5.7,Adventure
Predators,Fox,52000688,2669,24760882,2669,07-09-10,Nimród Antal,Adrien Brody,6,Action
Premonition,Sony,47852604,2831,17558689,2831,3/16/2007,Mennan Yapo,Sandra Bullock,6,Music
Pride and Prejudice,Focus,38405088,1335,2865017,215,11-11-05,Joe Wright,Keira Knightley,4.6,Comedy
Prince of Persia: The Sands of Time,BV,90759676,3646,30095259,3646,5/28/2010,Ubisoft Montreal,Raphaël Lacoste,6.1,Adventure
Prisoners,WB,61002302,3290,20817053,3260,9/20/2013,Denis Villeneuve,Hugh Jackman,8,Drama
Project Almanac,Par.,22348241,2900,8310252,2893,1/30/2015,Dean Israelite,Amy Landecker,6.5,Science Fiction
Project X,WB,54731865,3055,21051363,3055,03-02-12,Nima Nourizadeh,Thomas Mann,3,Crime
Prometheus,Fox,126477084,3442,51050101,3396,06-08-12,Ridley Scott,Noomi Rapace,6.4,Science Fiction
Proof of Life,WB,32598931,2705,10207869,2705,12-08-00,Taylor Hackford,Meg Ryan,6.1,Action
Public Enemies,Uni.,97104620,3336,25271675,3334,07-01-09,Michael Mann,Johnny Depp,6.6,Crime
Push,Sum.,31811527,2313,10079109,2313,02-06-09,Paul McGuigan,Chris Evans,4.2,Drama
Puss in Boots,P/DW,149260504,3963,34077439,3952,10/28/2011,Chris Miller,Antonio Banderas,5,Animation
Quantum of Solace,Sony,168368427,3501,67528882,3451,11/14/2008, Marc Forster," 
Daniel Craig",6.2,Adventure
Quarantine,SGem,31691811,2463,14211321,2461,10-10-08, John Erick Dowdle," 
Jennifer Carpenter",5.7,Horror
Queen of the Damned,WB,30336800,2511,14757535,2511,2/22/2002,Michael Rymer,Aaliyah,5.5,Drama
R.I.P.D.,Uni.,33618855,2852,12691415,2852,7/19/2013,Robert Schwentke,Ryan Reynolds,5.6,Fantasy
Race to Witch Mountain,BV,67172594,3268,24402214,3187,3/13/2009, Andy Fickman, Dwayne Johnson,5.5,Adventure
Racing Stripes,WB,49772522,3185,13920052,3185,1/14/2005,Frederik Du Chau,Frankie Muniz,5.2,Comedy
Radio,SonR,52333738,3074,13303724,3074,10/24/2003,Michael Tollin,Cuba Gooding Jr.,6.9,Drama
Raising Helen,BV,37486512,2721,10985597,2717,5/28/2004,Garry Marshall,Kate Hudson,6,Drama
Ralph Breaks the Internet,BV,201088809,4017,56237634,4017,11/21/2018,Phil Johnston,John C. Reilly,7.2,Family
Rambo,LGF,42754105,2764,18203876,2751,1/25/2008,Sylvester Stallone,Sylvester Stallone,6.4,Action
Random Hearts,Sony,31502583,2697,13012585,2697,10-08-99,Sydney Pollack,Harrison Ford,5.3,Drama
Rango,Par.,123477607,3923,38079323,3917,03-04-11,Gore Verbinski,Johnny Depp,6.6,Animation
Rat Race,Par.,56618055,2551,11662094,2550,8/17/2001,Jerry Zucker,Breckin Meyer,6.1,Adventure
Ratatouille,BV,206445654,3940,47027395,3940,6/29/2007,Brad Bird,Patton Oswalt,7.6,Animation
Ray,Uni.,75331600,2474,20039730,2006,10/29/2004,Taylor Hackford,Jamie Foxx,7.4,Drama
Ready Player One,WB,137690172,4234,41764050,4234,3/29/2018,Steven Spielberg,Tye Sheridan,7.6,Adventure
Real Steel,BV,85468508,3440,27319677,3440,10-07-11,Shawn Levy,Hugh Jackman,6.8,Action
